Date,Open,High,Low,Cls,Volume
2024-01-01,129.66,133.97,125.17,130.58,4015
2024-01-02,161.87,167.03,155.56,157.36,9241
2024-01-03,148.6,156.97,142.22,154.84,17884
2024-01-04,138.68,142.55,132.78,135.5,18814
2024-01-05,153.94,157.17,148.9,149.65,8166
2024-06-01,168.55,169.28,159.79,164.42,5367
2024-01-07,190.29,196.68,184.38,195.3,11587
2024-01-08,178.3,178.47,168.49,175.46,6086
2024-01-09,119.12,126.18,110.23,113.32,13954
2024-01-10,149.82,150.79,140.24,146.62,16560
2024-01-11,120.52,,119.79,120.54,11368
2024-01-12,178.08,187.38,170.67,186.49,18613
2024-01-13,174.42,175.86,171.82,175.47,4045
2024-01-14,126.59,129.48,120.64,125.61,4303
2024-01-15,107.15,115.68,105.32,114.37,5504
2024-02-15,131.13,140.28,129.29,133.87,1018
2024-01-17,134.89,141.59,132.99,134.04,8319
2024-01-18,146.67,151.97,136.9,150.43,16274
2024-01-19,132.76,134.44,128.41,128.85,8770
2024-01-20,123.4,133.38,114.6,130.65,11132
2024-01-21,196.8,197.05,190.9,,10392
2024-01-22,116.64,121.18,116.48,119.37,6826
2024-01-23,111.51,120.45,106.49,117.4,8555
2024-01-24,176.07,176.49,167.13,176.12,19348
2024-01-25,165.52,167.72,163.12,165.42,5830
2024-01-26,172.38,9999.0,170.93,172.53,2106
2024-01-27,180.0,183.91,174.88,181.12,7604
2024-01-28,149.38,156.81,142.41,152.52,7087
2024-01-29,194.89,198.22,186.81,190.68,12330
2024-01-30,141.89,146.43,136.52,137.73,4536
2024-01-31,170.65,170.75,-100.0,170.65,1224
2024-02-01,180.1,180.66,174.04,179.35,19486
2024-02-02,165.25,169.15,164.07,166.93,10138
2024-02-03,184.45,185.53,178.88,180.63,13962
2024-02-04,114.26,123.63,107.83,119.86,4348
2024-02-05,132.86,142.83,123.76,128.28,12639
2024-02-06,170.29,173.09,160.88,172.57,12225
2024-02-07,126.78,131.14,118.92,128.28,4318
2024-02-08,199.22,204.07,193.63,193.64,10333
2024-02-09,179.31,188.62,173.91,180.57,11029
2024-02-10,171.0,178.6,161.99,168.83,6177
2024-02-11,196.71,201.83,190.08,192.57,8055
2024-02-12,100.13,100.68,91.99,93.88,3138
2024-02-13,118.77,122.13,113.5,114.14,15115
2024-02-14,173.12,182.08,167.67,181.78,10693
2024-02-15,109.32,115.7,101.17,111.59,14016
2024-02-16,143.77,150.58,139.69,145.84,18564
2024-02-17,132.93,142.34,127.68,133.53,11691
2024-02-18,158.59,159.25,150.36,153.06,10620
2024-02-19,191.52,194.05,191.2,193.83,14957
2024-02-20,162.03,168.62,157.31,164.55,3693
2024-02-21,163.35,170.67,160.03,162.13,11342
2024-02-22,190.39,195.31,184.27,188.55,3550
2024-02-23,103.84,108.75,96.55,106.93,11989
2024-02-24,105.11,106.95,102.86,103.77,19785
2024-02-25,127.31,133.93,119.61,126.03,5095
2024-02-26,166.19,170.16,159.37,164.0,14127
2024-02-27,182.85,186.03,177.42,181.02,13801
2024-02-28,184.9,190.01,184.22,188.94,7514
2024-02-29,192.13,197.83,189.19,195.09,12389
2024-03-01,137.52,143.21,134.65,139.07,16721
2024-03-02,109.79,112.2,109.0,109.53,12395
2024-03-03,139.49,146.41,129.99,139.25,16111
2024-03-04,164.59,173.42,154.77,164.0,11273
2024-03-05,181.3,182.81,180.12,181.14,7699
2024-03-06,176.02,185.39,173.18,184.85,6282
2024-03-07,172.68,180.28,164.43,177.32,7319
2024-03-08,197.12,199.03,196.84,198.19,8117
2024-03-09,160.23,162.47,155.69,156.41,11359
2024-03-10,189.96,191.54,184.6,187.08,17072
2024-03-11,167.55,176.28,165.9,171.97,11280
2024-03-12,179.23,188.41,177.59,184.83,3999
2024-03-13,170.77,174.45,169.57,171.14,11173
2024-03-14,194.61,203.01,191.65,197.17,19066
2024-03-15,105.97,115.2,104.05,106.14,8065
2024-03-16,199.34,201.42,191.36,199.8,16849
2024-03-17,172.43,175.51,171.02,172.12,3101
